time,open,high,low,close,volume,MFI,RSI
2023-03-13,38.31,38.54,38.2,38.2,12621,10.501861981404886,20.870259381135938
2023-03-14,38.26,38.26,37.41,37.69,8906,10.599305032218453,18.18017934567854
2023-03-15,37.64,38.31,37.64,38.26,5808,11.932124488296424,29.168978216083843
2023-03-16,37.69,37.92,37.58,37.64,9200,6.240146232398999,25.20382736219068
2023-03-17,37.64,38.2,37.64,38.03,2110,7.408506705148156,31.510763377637318
2023-03-20,37.64,37.64,37.58,37.58,5933,2.0735846108829037,28.52224864343833
2023-03-21,37.64,37.64,37.08,37.41,10900,2.1537482460606157,27.46260626621644
2023-03-22,37.41,39.32,37.41,37.41,13301,6.257095449554029,27.46260626621644
2023-03-23,37.24,37.24,37.08,37.08,5306,8.76338155367101,25.342942481019307
2023-03-24,37.19,37.19,36.79,36.79,15514,14.609009189266786,23.617768749179376
2023-03-27,36.96,36.96,36.51,36.51,32326,13.493604164783108,22.05656900088003
2023-03-28,36.63,36.79,36.51,36.51,12695,13.659789222443607,22.05656900088003
2023-03-29,36.51,36.51,36.35,36.35,9102,13.545035677839579,21.13087304691443
2023-03-30,36.51,37.64,36.51,36.79,24803,27.49060041894657,29.850043928961327
2023-03-31,36.96,37.08,36.85,36.91,4400,28.97315772685573,32.05617544281792
2023-04-03,38.7,38.7,37.02,37.41,9200,34.741293465887836,40.45846193802041
2023-04-04,37.36,37.36,36.79,37.08,10800,30.1268008166369,37.189592777594086
2023-04-05,37.41,37.92,37.41,37.47,7120,34.93654410938608,43.046201550745565
2023-04-06,37.53,37.64,37.13,37.13,15007,31.150769120154877,39.58120644518026
2023-04-07,37.08,37.19,36.85,36.96,9600,30.534126444216838,37.93689434228791
2023-04-10,36.79,37.02,36.51,36.57,17000,29.574798284288022,34.40566775197246
2023-04-11,36.57,37.08,36.51,36.51,6700,23.992784711548808,33.88312883012556
2023-04-12,36.91,37.58,36.91,37.58,18400,32.27959522268485,48.81325233613666
2023-04-13,36.51,37.36,36.51,37.36,8025,33.626047781659764,46.48878784645976
2023-04-14,36.79,37.13,36.68,36.68,4500,39.768332864663,40.12809240800958
2023-04-17,36.68,36.74,36.46,36.74,5709,41.67622556017102,40.89650865012846
2023-04-18,36.57,36.68,36.46,36.51,10800,41.185878261246074,38.83872517245723
2023-04-19,36.4,36.51,36.06,36.06,41141,21.84278900982555,35.11579176275818
2023-04-20,36.29,36.35,36.06,36.12,28402,19.074974540948375,35.99673084847099
2023-04-21,36.23,36.29,36.18,36.23,92500,43.80966433917071,37.66761647153871
2023-04-24,36.23,36.46,36.23,36.23,71613,57.4122697782209,37.66761647153871
2023-04-25,36.23,36.23,35.95,36.18,22000,52.87107932333079,37.15626059545304
2023-04-26,36.12,36.12,35.39,35.45,22040,51.93617061009259,30.620390953880005
2023-04-27,35.39,35.95,34.32,34.32,30542,49.2047593433337,23.677411622289313
2023-04-28,35.9,36.51,34.49,34.49,25781,54.77615616309528,26.381838657636578
2023-05-04,36.51,36.51,34.27,34.55,139406,40.415786035726306,27.360165649632123
2023-05-05,34.38,35.95,34.38,35.9,69580,45.5927511570893,45.05339584577323
2023-05-08,36.12,36.79,36.06,36.79,54326,51.08598150429455,53.15445017731696
2023-05-09,36.63,37.97,36.63,37.97,40507,54.6117327938203,61.301052636289
2023-05-10,37.53,38.93,37.24,38.2,144863,63.71150966599985,62.66396184869188
2023-05-11,38.2,40.17,38.2,39.44,125649,69.83621711776502,69.0023045216343
2023-05-12,40.45,41.12,39.32,40.95,113237,76.48518031353707,74.64674771766087
